timestamp,zone,pm25,pm10,no2,co,temperature,humidity,vehicle_count,speed,aqi
2025-10-12T09:31:59Z,Zone C,58.43,92.02,26.91,1.6,30.4,80.5,1724,48.1,148
2025-10-12T10:31:59Z,Zone A,55.08,74.56,34.03,1.64,25.4,51.4,1535,46.4,130
2025-10-12T11:31:59Z,Zone B,33.88,57.59,18.72,0.96,20.6,82.3,749,64.2,83
2025-10-12T12:31:59Z,Zone A,44.85,72.21,15.14,1.0,31.5,51.0,794,61.1,106
2025-10-12T13:31:59Z,Zone B,28.4,53.6,17.04,0.73,30.7,61.0,524,67.8,66
2025-10-12T14:31:59Z,Zone B,40.26,58.66,19.6,1.0,25.1,71.6,1037,54.2,101
2025-10-12T15:31:59Z,Zone C,30.25,56.89,14.83,0.77,36.2,46.4,424,64.7,71
2025-10-12T16:31:59Z,Zone C,42.6,68.55,21.45,0.96,22.0,72.2,777,58.9,103
2025-10-12T17:31:59Z,Zone A,47.64,75.05,28.24,1.52,24.9,65.0,1533,53.3,128
2025-10-12T18:31:59Z,Zone A,110.88,170.26,55.21,2.87,20.5,48.2,2290,31.5,282
2025-10-12T19:31:59Z,Zone B,44.24,69.57,27.17,1.22,32.8,56.9,1258,53.7,114
2025-10-12T20:31:59Z,Zone A,27.94,39.83,13.6,0.71,29.3,60.1,537,70.7,65
2025-10-12T21:31:59Z,Zone C,33.29,54.8,19.58,0.75,17.5,79.0,703,63.1,79
2025-10-12T22:31:59Z,Zone D,37.07,63.0,18.32,0.9,25.8,50.1,891,62.7,90
2025-10-12T23:31:59Z,Zone D,44.22,67.98,26.03,1.46,24.2,62.5,1193,46.4,110
2025-10-13T00:31:59Z,Zone C,34.87,49.55,19.48,0.86,25.2,61.5,843,58.2,89
2025-10-13T01:31:59Z,Zone A,37.07,64.0,26.96,1.11,30.4,73.9,885,50.0,89
2025-10-13T02:31:59Z,Zone D,30.41,43.41,19.67,0.93,40.7,55.1,695,72.9,71
2025-10-13T03:31:59Z,Zone C,35.47,57.38,16.31,0.64,32.3,86.8,742,70.5,89
2025-10-13T04:31:59Z,Zone D,32.03,57.86,19.84,1.01,31.9,77.4,796,59.2,89
2025-10-13T05:31:59Z,Zone D,46.98,77.54,24.0,1.31,30.7,37.5,1254,55.7,123
2025-10-13T06:31:59Z,Zone C,35.11,57.87,15.04,0.76,27.8,45.6,531,62.3,91
2025-10-13T07:31:59Z,Zone A,33.49,51.17,11.87,0.91,26.9,52.9,867,62.9,89
2025-10-13T08:31:59Z,Zone C,70.74,112.9,41.79,2.11,28.8,60.9,1832,38.9,182
2025-10-13T09:31:59Z,Zone D,38.18,63.25,19.99,1.07,20.2,52.3,1099,60.4,87
2025-10-13T10:31:59Z,Zone C,203.59,308.31,107.2,5.26,25.3,33.2,3000,19.8,507
2025-10-13T11:31:59Z,Zone A,29.88,52.01,21.3,0.74,27.8,67.8,691,70.1,74
2025-10-13T12:31:59Z,Zone C,37.92,55.87,16.24,0.81,32.4,67.6,702,62.0,91
2025-10-13T13:31:59Z,Zone B,43.44,67.84,18.35,0.85,43.7,63.4,836,66.2,105
2025-10-13T14:31:59Z,Zone C,29.37,42.58,17.17,0.67,42.4,59.7,747,63.9,66
2025-10-13T15:31:59Z,Zone B,37.0,61.24,21.07,0.93,42.7,66.2,800,67.8,96
2025-10-13T16:31:59Z,Zone A,43.6,71.8,19.15,1.03,18.2,57.7,1161,67.4,106
2025-10-13T17:31:59Z,Zone B,44.69,78.66,27.29,1.29,27.9,34.3,1437,57.7,100
2025-10-13T18:31:59Z,Zone D,213.96,333.71,109.03,5.48,21.9,50.0,2694,17.2,536
2025-10-13T19:31:59Z,Zone A,58.99,92.86,29.15,1.69,20.3,47.4,1837,59.5,143
2025-10-13T20:31:59Z,Zone A,40.16,68.36,20.53,0.93,21.9,77.4,797,59.0,95
2025-10-13T21:31:59Z,Zone C,34.86,57.59,13.46,0.85,32.4,67.4,864,71.1,91
2025-10-13T22:31:59Z,Zone B,39.58,54.18,21.53,0.81,25.6,50.0,753,70.7,98
2025-10-13T23:31:59Z,Zone D,46.56,80.51,20.31,0.95,31.2,68.0,1118,60.0,112
2025-10-14T00:31:59Z,Zone A,30.65,51.09,19.23,1.03,28.1,61.5,790,65.3,81
2025-10-14T01:31:59Z,Zone C,42.28,64.74,24.09,1.03,27.3,51.0,1087,54.8,98
2025-10-14T02:31:59Z,Zone D,39.42,67.84,22.2,0.96,29.8,68.6,688,56.7,97
2025-10-14T03:31:59Z,Zone B,31.2,51.73,19.18,0.69,35.0,53.3,553,69.9,83
2025-10-14T04:31:59Z,Zone A,30.38,50.6,17.28,0.81,34.2,36.1,724,64.9,79
2025-10-14T05:31:59Z,Zone B,34.46,59.16,16.81,0.8,23.6,49.9,668,62.7,92
2025-10-14T06:31:59Z,Zone B,35.2,52.7,16.86,1.03,33.8,75.4,781,65.2,92
2025-10-14T07:31:59Z,Zone C,39.25,74.13,18.82,0.86,28.3,63.6,846,67.1,87
2025-10-14T08:31:59Z,Zone C,145.01,224.43,76.72,3.63,21.1,34.4,2980,28.5,362
2025-10-14T09:31:59Z,Zone C,32.02,60.52,18.39,1.11,17.1,90.5,1090,62.8,76
2025-10-14T10:31:59Z,Zone D,119.04,179.49,62.41,3.06,26.4,53.3,2836,33.6,296
2025-10-14T11:31:59Z,Zone B,43.99,70.0,13.88,0.88,24.9,55.9,725,61.4,110
2025-10-14T12:31:59Z,Zone C,42.33,76.72,17.52,0.97,21.5,37.3,807,62.5,107
2025-10-14T13:31:59Z,Zone B,28.63,50.83,20.23,0.86,28.6,56.6,728,69.9,71
2025-10-14T14:31:59Z,Zone A,34.18,51.9,15.81,1.03,37.6,75.8,624,68.6,90
2025-10-14T15:31:59Z,Zone D,40.44,69.87,20.27,0.85,25.4,43.0,1095,68.0,103
2025-10-14T16:31:59Z,Zone A,30.52,51.03,15.42,0.92,25.6,51.1,761,61.5,76
2025-10-14T17:31:59Z,Zone C,82.54,131.64,42.04,2.24,28.0,66.8,2086,42.8,212
2025-10-14T18:31:59Z,Zone A,68.03,104.76,42.01,1.99,23.0,64.2,1957,38.0,174
2025-10-14T19:31:59Z,Zone A,104.44,150.97,63.02,3.05,32.4,34.7,2382,32.4,264
2025-10-14T20:31:59Z,Zone D,37.12,48.33,12.9,0.82,22.4,67.9,597,72.2,91
2025-10-14T21:31:59Z,Zone B,32.11,54.93,17.56,0.87,25.5,41.4,688,73.8,82
2025-10-14T22:31:59Z,Zone A,38.37,61.21,21.68,0.92,33.2,26.9,895,64.8,102
2025-10-14T23:31:59Z,Zone B,25.91,48.85,20.18,0.67,16.4,82.7,850,67.0,53
2025-10-15T00:31:59Z,Zone C,43.53,73.46,30.47,1.2,33.7,65.1,1086,50.9,110
2025-10-15T01:31:59Z,Zone B,40.91,61.81,24.32,0.97,25.5,65.8,965,65.7,102
2025-10-15T02:31:59Z,Zone C,27.1,50.47,18.18,0.9,25.8,53.6,610,74.2,72
2025-10-15T03:31:59Z,Zone D,28.01,43.99,21.04,0.96,22.1,49.8,943,69.0,74
2025-10-15T04:31:59Z,Zone C,31.87,48.85,17.15,0.97,31.6,67.2,612,68.3,86
2025-10-15T05:31:59Z,Zone B,31.62,57.19,14.3,0.8,26.0,53.6,734,63.0,71
2025-10-15T06:31:59Z,Zone A,28.8,47.05,22.77,1.17,25.1,72.8,1083,63.7,67
2025-10-15T07:31:59Z,Zone A,26.92,46.76,14.72,0.93,27.0,64.7,711,66.2,63
2025-10-15T08:31:59Z,Zone A,64.67,102.07,33.59,1.7,22.5,98.6,1672,45.2,160
2025-10-15T09:31:59Z,Zone D,269.33,412.51,148.09,7.55,33.4,54.1,3128,14.6,665
2025-10-15T10:31:59Z,Zone B,681.5,1026.49,365.06,18.26,29.0,64.3,3398,6.2,1697
2025-10-15T11:31:59Z,Zone D,58.82,93.98,26.29,1.0,24.1,50.6,1044,48.2,147
2025-10-15T12:31:59Z,Zone D,42.49,66.94,24.29,0.93,31.1,70.7,995,58.9,109
2025-10-15T13:31:59Z,Zone C,34.16,60.59,18.25,0.86,39.8,71.5,679,65.1,77
2025-10-15T14:31:59Z,Zone C,31.6,58.63,13.44,0.82,24.2,71.3,1027,66.0,76
